Input Name,Unit,Input Row Number,Change,North_Field,Low - North_Field,High - North_Field,Yuzhno-Tambeyskoye,Low - Yuzhno-Tambeyskoye,High - Yuzhno-Tambeyskoye,Gorgon (No seq),Low - Gorgon (No seq),High - Gorgon (No seq),Gorgon (seq),Low - Gorgon (seq),High - Gorgon (seq),Jansz-IO,Low - Jansz-IO,High - Jansz-IO,Gorgon&Jansz-Io (No SEQ),Low - Gorgon&Jansz-Io (No SEQ),High - Gorgon&Jansz-Io (No SEQ),Gorgon&Jansz-Io (SEQ),Low - Gorgon&Jansz-Io (SEQ),High - Gorgon&Jansz-Io (SEQ),Coral,Low - Coral,High - Coral,Eagle Ford,Low - Eagle Ford,High - Eagle Ford,Permian ,Low - Permian ,High - Permian ,Marcellus,Low - Marcellus,High - Marcellus,Northern_Montney,Low - Northern_Montney,High - Northern_Montney,Heritage_Montney,Low - Heritage_Montney,High - Heritage_Montney,Duvernay,Low - Duvernay,High - Duvernay
1.6.2.2   Moderate intensity development and moderate oxidation,NA,97,1,1,1,1,0,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,1,,
1.6.2.3   High intensity development and high oxidation,NA,98,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7.1.1   Ocean tanker,[-],102,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.7.1.2   Barge,[-],103,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.7.1.3   Pipeline,[-],104,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.7.1.4   Rail,[-],105,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.7.1.5   Truck,,106,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7.2.1   Ocean tanker,Mile,108,0,5082,5082,5082,5082,,,100,,,100,,,100,,,100,,,100,,,5082,,,5082,,,5082,,,5082,,,5082,,,5082,,,5082,,
1.7.2.2   Barge,Mile,109,0,500,500,500,500,,,100,,,100,,,100,,,100,,,100,,,500,,,500,,,500,,,500,,,500,,,500,,,500,,
1.7.2.3   Pipeline,Mile,110,0,750,750,750,750,,,100,,,100,,,100,,,100,,,100,,,750,,,750,,,750,,,750,,,621,,,621,,,621,,
1.7.2.4   Rail,Mile,111,0,800,800,800,800,,,100,,,100,,,100,,,100,,,100,,,800,,,800,,,800,,,800,,,621,,,621,,,621,,
1.7.2.5   Truck,,112,0,100,100,100,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,31,,,31,,,31,,
"1.7.3   Ocean tanker size, if applicable",Ton,113,0,250000,250000,250000,250000,,,100,,,100,,,100,,,100,,,100,,,250000,,,250000,,,250000,,,250000,,,250000,,,250000,,,250000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8   Small sources emissions,gCO2eq/MJ,115,1,0.25,0.25,0.25,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,,0.25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0.3   Horizontal Well,[0-1],127,1,0,0,0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,
2.0.4   Lateral Length,ft,128,1,5000,5000,5000,2296,,,0,,,0,,,0,,,0,,,0,,,0,,,5094,,,7100,,,7000,,,2355.497567,,,3892.54902,,,4073.471902,,
2.0.5   Fraction of wells fractured,[0-1],129,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,
2.0.6    Fracturing fluid injection volume,Million gal,130,1,3,3,3,0,,,0,,,0,,,0,,,0,,,0,,,0,,,4.3,,,4.3,,,4.2,,,3.9961,,,3.3429,,,5.5892,,
2.0.7    Fracturing pressure gradient (rock strength),psi/ft,131,1,0.7,0.7,0.7,0.7,,,0.7,,,0.7,,,0.7,,,0.7,,,0.7,,,0.7,,,0.899979956,,,0.7,,,0.9,,,1.012103605,,,0.956901389,,,0.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1   Distance of travel for survey,mi,134,0,10000,10000,10000,10000,,,10000,,,10000,,,10000,,,10000,,,10000,,,10000,,,20000000,,,7750000,,,11300000,,,1397000,,,2381000,,,797000,,
1.2.2   Weight of land survey vehicle,tons,135,0,5,5,5,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,
1.2.3   Weight of ocean survey vehicle,tons,136,0,100,100,100,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,,100,,
1.2.4   Number of dry wells drilled per field found,wells,137,0,5,5,5,5,,,5,,,5,,,5,,,5,,,5,,,5,,,200,,,77.5,,,113,,,13.97,,,23.81,,,7.97,,
1.2.5   Number of exploratory/scientific wells drilled after field discovery,wells,138,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1   Oil EUR/Well,bbl,141,1,15370000,15370000,15370000,6590000,,,12000000,,,12000000,,,12000000,,,12000000,,,12000000,,,16000000,,,300000,,,610000,,,6200,,,107000,,,89000,,,450000,,
2.1.2   Gas EUR/Well,scf,142,1,9.73E+11,9.73E+11,9.73E+11,1.15E+11,,,1.57E+12,,,1.57E+12,,,1.57E+12,,,1.57E+12,,,1.57E+12,,,6.08E+11,,,1500000000,,,1.70E+09,,,6160000000,,,10700000000,,,10200000000,,,4.50E+09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1   Fuel Use,%,145,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6.41,,,6.41,,,3.58,,,5.57,,,1.07,,,6.86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.1   Fugitive Emissions,%,148,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5.1   Electricity Consumption ,Kwh/scf,151,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.00344,,,0,,
