Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),102023006419W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,9691.929444,6.042,64742.841,10.978,391176.2453,11898.27746,1102.665,13000.94246,4709281.158,0.3,2.8,3.059488149,,
Bakken (SK),100130506420W500,,Dduvernay,AB,KAYBOB,1657788.168,0.0101,0,1.2135,0.5,,0.5,9637.139416,24.074,42519.293,0,1023609.46,31134.78774,4393.505,35528.29274,4709281.158,0.3,2.9,3.309225995,,
Bakken (SK),102050806420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10027.23129,0.11,4169391.699,900.031,458633.0869,13950.08973,20.075,13970.16473,4709281.158,0.2,2.6,2.603741553,,
Bakken (SK),100080806420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10039.3704,2.874,102793.571,24.297,295428.7231,8985.956994,524.505,9510.461994,4709281.158,0.2,2.5,2.645923523,,
Bakken (SK),100090806420W500,,Dduvernay,AB,KAYBOB,1387567.15,0.034,0,1.2133,0.417,,0.417,9987.205044,1.621,201740.082,0,327020.6729,8295.69692,246.724305,8542.421225,4709281.158,0.2,2.2,2.265430726,,
Bakken (SK),102120806420W500,,Dduvernay,AB,KAYBOB,1349809.525,0.0387,0,1.2132,0.417,,0.417,9987.205044,6.597,128098.126,0,845063.3372,21437.14421,1004.096385,22441.24059,4709281.158,0.3,2.8,2.93114946,,
Bakken (SK),102130806420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10000.65649,0.955,579786.913,144.628,553696.5019,16841.60193,174.2875,17015.88943,4709281.158,0.2,2.6,2.626906437,,
Bakken (SK),102120906420W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10032.80872,1.134,213219.545,243.046,241790.964,7354.475155,206.955,7561.430155,4709281.158,0.2,2.9,2.981606027,,
Bakken (SK),102130906420W500,,Dduvernay,AB,KAYBOB,1558141.528,0.0174,0,1.2135,0.5,,0.5,9934.711604,10.922,99941.893,0,1091565.355,33201.77955,1993.265,35195.04455,4709281.158,0.3,2.9,3.074101165,,
Bakken (SK),100041506420W500,,Dduvernay,AB,KAYBOB,1314055.559,0.0433,0,1.2131,0.417,,0.417,9911.41764,13.073,93441.639,0,1221562.547,30987.98791,1989.775965,32977.76388,4709281.158,0.3,2.9,3.086212487,,
Bakken (SK),100111506420W500,,Dduvernay,AB,KAYBOB,1280149.882,0.0479,0,1.2131,0.417,,0.417,9863.189292,10.426,99346.273,0,1035784.242,26275.25676,1586.88933,27862.14609,4709281.158,0.2,2.9,3.07514497,,
Bakken (SK),102011706420W500,,Dduvernay,AB,KAYBOB,1247952.787,0.0525,0,1.213,0.417,,0.417,9834.3179,23.504,53751.495,0,1263375.138,32048.66881,3577.42632,35626.09513,4709281.158,0.3,3,3.334874407,,
Bakken (SK),100162206420W500,,Dduvernay,AB,KAYBOB,1217338.299,0.0571,0,1.213,0.417,,0.417,9972.769348,5.48,195863.839,0,1073333.838,27227.79614,834.0834,28061.87954,4709281.158,0.2,1.9,1.958203699,,
Bakken (SK),100142306420W500,,Dduvernay,AB,KAYBOB,1215810.593,0.0573,0,1.2129,0.25,,0.25,9756.233908,3.026,416812.993,0,1261276.117,19181.90761,276.1225,19458.03011,4709281.158,0.2,2.7,2.738866351,,
Bakken (SK),100162306420W500,,Dduvernay,AB,KAYBOB,1212767.052,0.0576,0,1.2128,0.25,,0.25,9668.963564,4.15,321983.372,0,1336230.994,20321.84637,378.6875,20700.53387,4709281.158,0.2,2.7,2.750313157,,
Bakken (SK),100123606420W500,,Dduvernay,AB,KAYBOB,1514700.826,0.0202,0,1.2134,0.5,,0.5,9651.903196,16.929,75350.621,0,1275610.663,38799.82433,3089.5425,41889.36683,4709281.158,0.3,2.8,3.022957685,,
Bakken (SK),102120506520W500,,Dduvernay,AB,KAYBOB,2944.23901,70.0316,0,0.001,0.083,,0.083,9554.790332,2.833,264584.478,0,749567.8262,3784.692882,85.825735,3870.518617,4709281.158,0.7,168.4,172.2188181,,
Bakken (SK),102161505919W500,,Dduvernay,AB,KAYBOB SOUTH,3780.137868,37.9531,0,0.001,0.083,,0.083,9839.23916,24.008,357.866,9.039,8591.646928,43.38065728,727.32236,770.7030173,4709281.158,1.5,8.2,145.6816272,,
Bakken (SK),102061905919W500,,Dduvernay,AB,KAYBOB SOUTH,3971663.889,0,0.0008,0.001,0.5,,0.5,10821.85074,0.293,7943385.224,0,2327411.871,70792.11108,53.4725,70845.58358,4709281.158,0.3,2.1,2.101586225,,
Bakken (SK),100012505919W502,,Dduvernay,AB,KAYBOB SOUTH,11346356.87,0.2624,0.0003,1.4869,0.5,,0.5,11291.99511,0.445,1690135.238,26.822,752110.1809,22876.68467,81.2125,22957.89717,4709281.158,0.2,3.5,3.512425041,,
Bakken (SK),100012405920W502,,Dduvernay,AB,KAYBOB SOUTH,4809600.585,0,0,0.8682,0.5,,0.5,10596.12895,0.028,9535753.064,0,267001.0858,8121.283026,5.11,8126.393026,4709281.158,0.2,2.7,2.701698869,,
Bakken (SK),100122605920W502,,Dduvernay,AB,KAYBOB SOUTH,11346356.87,0.2624,0.0003,1.4869,0.5,,0.5,11308.39931,0.107,29667360.85,361.903,3174407.611,96554.89817,19.5275,96574.42567,4709281.158,0.2,3.3,3.3006674,,
Bakken (SK),100133605920W500,,Dduvernay,AB,KAYBOB SOUTH,565522.4755,0,0,0.5095,0.5,,0.5,11393.04498,0.262,1131053.131,3.316,296335.9203,9013.550909,47.815,9061.365909,4709281.158,0.2,2.5,2.513261976,,
